trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2023-01-03,600132.SH,20230103,127.52,128.5,121.8,123.0,127.38,-4.38,-3.4385,49028.23,603451.059
2023-01-04,600132.SH,20230104,123.0,125.0,121.4,123.73,123.0,0.73,0.5935,24035.97,297501.646
2023-01-05,600132.SH,20230105,123.73,129.9,123.63,128.3,123.73,4.57,3.6935,30656.59,392576.063
2023-01-06,600132.SH,20230106,127.81,127.81,123.88,125.84,128.3,-2.46,-1.9174,38441.18,480622.127
2023-01-09,600132.SH,20230109,125.38,127.4,123.2,126.8,125.84,0.96,0.7629,43285.73,543956.69
2023-01-10,600132.SH,20230110,126.0,128.59,122.88,127.55,126.8,0.75,0.5915,37184.49,469847.821
2023-01-11,600132.SH,20230111,128.0,132.8,125.03,126.8,127.55,-0.75,-0.588,40627.62,521790.772
2023-01-12,600132.SH,20230112,128.21,128.21,123.0,123.28,126.8,-3.52,-2.776,30592.53,379946.388
2023-01-13,600132.SH,20230113,123.72,130.31,123.5,130.16,123.28,6.88,5.5808,53752.33,684200.473
2023-01-16,600132.SH,20230116,130.1,132.65,128.6,130.7,130.16,0.54,0.4149,56979.8,745767.481
2023-01-17,600132.SH,20230117,130.82,131.0,126.9,128.65,130.7,-2.05,-1.5685,31842.62,409418.687
2023-01-18,600132.SH,20230118,127.78,129.64,126.42,127.14,128.65,-1.51,-1.1737,22470.69,286553.252
2023-01-19,600132.SH,20230119,126.76,127.58,124.58,125.18,127.14,-1.96,-1.5416,22945.89,287399.127
2023-01-20,600132.SH,20230120,125.91,126.19,123.1,123.97,125.18,-1.21,-0.9666,23891.72,297033.358
2023-01-30,600132.SH,20230130,124.55,126.2,122.1,124.81,123.97,0.84,0.6776,34587.4,430208.227
2023-01-31,600132.SH,20230131,124.0,126.55,120.01,120.2,124.81,-4.61,-3.6936,39456.88,482404.85
2023-02-01,600132.SH,20230201,120.8,121.79,117.78,121.68,120.2,1.48,1.2313,35927.79,430487.255
2023-02-02,600132.SH,20230202,121.6,128.0,119.68,126.99,121.68,5.31,4.3639,47357.8,595510.717
2023-02-03,600132.SH,20230203,126.02,126.73,121.6,123.48,126.99,-3.51,-2.764,26151.96,322729.224
2023-02-06,600132.SH,20230206,122.03,122.04,118.52,119.86,123.48,-3.62,-2.9316,27495.54,330182.456
2023-02-07,600132.SH,20230207,121.0,122.0,118.25,118.61,119.86,-1.25,-1.0429,23985.27,286420.258
2023-02-08,600132.SH,20230208,119.88,121.85,118.06,120.03,118.61,1.42,1.1972,31859.16,381853.543
