trade_date,open,high,low,close,vol,pre_close
2022-01-04,99.0,100.06,96.32,99.66,52000.69,99.0
2022-01-05,99.04,103.0,98.51,101.0,54844.53,99.66
2022-01-06,100.58,101.59,96.5,97.87,53852.87,101.0
2022-01-07,97.29,98.66,96.5,96.7,30609.71,97.87
2022-01-10,95.66,95.88,91.37,95.14,116609.21,96.7
2022-01-11,94.81,94.81,89.5,89.92,104720.01,95.14
2022-01-12,89.92,91.27,88.08,90.74,83571.31,89.92
2022-01-13,90.11,91.38,88.77,89.23,43696.4,90.74
2022-01-14,88.2,91.8,88.2,90.23,76943.71,89.23
2022-01-17,91.0,91.0,88.63,89.18,46714.63,90.23
2022-01-18,89.13,90.31,88.48,89.45,48129.54,89.18
2022-01-19,89.0,89.8,87.03,88.71,42616.36,89.45
2022-01-20,89.25,91.53,88.72,90.94,60907.79,88.71
2022-01-21,91.22,95.63,90.18,93.13,80151.34,90.94
2022-01-24,92.75,96.38,92.07,95.36,68335.22,93.13
2022-01-25,95.36,96.12,93.51,94.0,37461.35,95.36
2022-01-26,93.66,95.15,92.47,93.98,33589.35,94.0
2022-01-27,93.84,94.3,92.33,92.97,23616.2,93.98
2022-01-28,93.18,95.66,91.5,92.21,32340.33,92.97
2022-02-07,92.93,95.5,90.88,91.64,44433.87,92.21
2022-02-08,91.64,91.75,88.36,89.58,47803.81,91.64
2022-02-09,89.2,92.84,89.13,91.27,60543.19,89.58
2022-02-10,91.2,91.2,88.21,89.5,71075.72,91.27
2022-02-11,89.0,91.68,88.78,90.01,42010.12,89.5
2022-02-14,90.09,95.11,90.01,94.89,86567.4,90.01
2022-02-15,94.3,96.95,94.28,95.63,48857.16,94.89
2022-02-16,95.63,97.49,94.74,96.61,39809.71,95.63
2022-02-17,97.5,97.5,95.26,96.39,31959.23,96.61
2022-02-18,95.88,97.52,94.6,96.3,29747.03,96.39
2022-02-21,97.01,97.2,94.55,95.22,23663.97,96.3
2022-02-22,95.0,95.43,93.46,95.0,23238.01,95.22
2022-02-23,94.65,95.5,92.7,94.6,27011.78,95.0
2022-02-24,94.09,94.89,92.06,93.2,35182.47,94.6
2022-02-25,93.12,93.88,92.54,93.59,27969.25,93.2
2022-02-28,92.71,93.97,92.57,93.79,31834.72,93.59
2022-03-01,96.96,103.17,96.6,101.58,130207.52,93.79
2022-03-02,100.58,101.2,97.81,99.49,74540.01,101.58
2022-03-03,99.5,101.19,98.01,99.29,55817.65,99.49
2022-03-04,98.13,99.89,97.35,98.02,50404.63,99.29
2022-03-07,96.75,96.75,90.91,91.3,88313.87,98.02
2022-03-08,91.3,93.5,89.59,90.51,58534.97,91.3
2022-03-09,90.57,91.2,84.8,88.84,78616.68,90.51
2022-03-10,90.5,94.88,89.26,94.3,96164.79,88.84
